artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
Ri,Rius,0.6666666666666666,2,1
Ri,Ruri,0.6666666666666666,2,1
Sudo,Sando,0.6666666666666666,1,1
Stuck,Stik,0.6666666666666666,2,1
Treas,Trez,0.6666666666666666,2,1
Rubén,Rubén Maya,0.6666666666666666,5,1
Rubén,Rubén Grau,0.6666666666666666,5,1
Rubin,Ilya Rubin,0.6666666666666666,5,1
Rubin,Bina Rubin,0.6666666666666666,5,1
SHN,SHE,0.6666666666666666,1,1
Run,Rushan,0.6666666666666666,3,1
Stuck,Stucchi,0.6666666666666666,1,1
Stiegel,Stael,0.6666666666666666,3,1
RAM,RAF,0.6666666666666666,1,1
Ronda,Rone,0.6666666666666666,2,1
Stiegel,Eduard Stiegel,0.6666666666666666,7,1
Plek,Bolek,0.6666666666666666,1,1
Ronda,Omar Ronda,0.6666666666666666,5,1
Polygoon,Polemon,0.6666666666666666,3,1
Pref,Preul,0.6666666666666666,1,1
Pref,Preuc,0.6666666666666666,1,1
Brong,Brent Wong,0.6666666666666666,5,1
Jehl,Jan Mehl,0.6666666666666666,4,1
Bruk,Brock,0.6666666666666666,1,1
Bruk,Bruno,0.6666666666666666,1,1
Brus,Bram Bus,0.6666666666666666,4,1
Brus,Bryes,0.6666666666666666,1,1
Brus,Bruno,0.6666666666666666,1,1
Juis,Jules,0.6666666666666666,1,1
Joys,Johns,0.6666666666666666,1,1
Joys,Joy Moos,0.6666666666666666,4,1
Bomy,Bom.K,0.6666666666666666,1,1
Jorz,Jordi,0.6666666666666666,1,1
Bomy,Bompō,0.6666666666666666,1,1
Brogi,Gino Brogi,0.6666666666666666,5,1
Buc,Kuc,0.6666666666666666,1,1
Ignar,Ignaz Paur,0.6666666666666666,5,1
Ibie,Inkie,0.6666666666666666,1,1
Cade,Blade,0.6666666666666666,1,1
Camo,Caíto,0.6666666666666666,1,1
Camo,Campi,0.6666666666666666,1,1
Itch,Watch,0.6666666666666666,1,1
Inva,Intra,0.6666666666666666,1,1
Insa,Intra,0.6666666666666666,1,1
Julião,Juli Simo,0.6666666666666666,1,1
Koret,Kost,0.6666666666666666,2,1
Kan,Kao,0.6666666666666666,1,1
Kan,Yan,0.6666666666666666,1,1
Kan,Kankai,0.6666666666666666,3,1
Kan,Ho-Kan,0.6666666666666666,3,1
Kan,Li Kan,0.6666666666666666,3,1
Kan,Kanmei,0.6666666666666666,3,1
KA,KAWS,0.6666666666666666,2,1
Kan,Kantei,0.6666666666666666,3,1
Kem,Kej,0.6666666666666666,1,1
Kem,Kirdem,0.6666666666666666,3,1
Kem,Sem,0.6666666666666666,1,1
Kef,Kej,0.6666666666666666,1,1
Kav,Kao,0.6666666666666666,1,1
Elle,Euple,0.6666666666666666,1,1
Elle,Epple,0.6666666666666666,1,1
Elle,Egele,0.6666666666666666,1,1
Elger,Elga Eymer,0.6666666666666666,5,1
Elger,Eli Langer,0.6666666666666666,5,1
Cardon,Carl Neon,0.6666666666666666,1,1
DEB,DEC,0.6666666666666666,1,1
DEV,DEC,0.6666666666666666,1,1
Else,Els Bode,0.6666666666666666,4,1
Cof,Coghuf,0.6666666666666666,3,1
Eoin,Eirin,0.6666666666666666,1,1
Dier,Du Haier,0.6666666666666666,4,1
Deza,Dessa,0.6666666666666666,1,1
Devil,Deve,0.6666666666666666,2,1
Desy,Dessa,0.6666666666666666,1,1
Desmons,Desmond Sim,0.6666666666666666,1,1
Desmons,Desmond Morris,0.6666666666666666,7,1
Dier,Duvivier,0.6666666666666666,4,1
Ebling,Sonia Ebling,0.6666666666666666,6,1
Daoust,Dao,0.6666666666666666,3,1
Duero,Duel,0.6666666666666666,2,1
Duero,Dugo,0.6666666666666666,2,1
Duero,DJ Gero,0.6666666666666666,1,1
Fiel,Fesel,0.6666666666666666,1,1
Gumzej,Špela Gumzej,0.6666666666666666,6,1
Gumo,Guman,0.6666666666666666,1,1
Gumo,Guydo,0.6666666666666666,1,1
Greek,Meek,0.6666666666666666,2,1
Caz,Caziel,0.6666666666666666,3,1
Cazo,Caíto,0.6666666666666666,1,1
Hong3,Hong Yi,0.6666666666666666,1,1
Cardon,Carl Amon,0.6666666666666666,1,1
Hin,Hieron,0.6666666666666666,3,1
Fonso,Mafonso,0.6666666666666666,1,1
