artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,Type
Anish Kapoor,"British,Indian",India,male,"Neo-Expressionism, Post-Minimalism",Post-Minimalism,{Post-Minimalism:13},Mumbai,,1954.0,,1981.0,2009.0,13.0,"London,'s-Hertogenbosch","['London:1977-2013', ""'s-Hertogenbosch:1994-1994""]","{Neo-Expressionism:6},{Post-Minimalism:7}","{Post-Minimalism:7}, {Neo-Expressionism:7}","Post-Minimalism:1992-2009,Neo-Expressionism:1981-2009","drawer,visual artist,scenographer,jewelry designer,sculptor,painter,artist,architect",,,New British Sculpture,"Damien Hirst,",,,,,Yes,
Betty Goodwin,Canadian,Canada,female,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:12},Montreal,Montreal,1923.0,2008.0,1969.0,1998.0,12.0,,[],{Neo-Expressionism:12},{Neo-Expressionism:12},Neo-Expressionism:1969-1998,"drawer,painter",,,,,,,,,,
Chris Ofili,,United Kingdom,male,Neo-Expressionism,Neo-Expressionism,,Manchester,,1968.0,,,,45.0,"Trinidad and Tobago,London,Zimbabwe",[],{Neo-Expressionism:45},,,"drawer,visual artist,sculptor,painter,artist,photographer",,,,,,,,,,
Dana Schutz,,United States,female,"Neo-Expressionism, Unknown",Contemporary,,Livonia,,1976.0,,2007.0,2007.0,79.0,New York City,['New York City:1999-2010'],"{Neo-Expressionism:78},{Unknown:1}",,,"drawer,painter",,,,,,,,,Yes,
David Park,American,,male,Neo-Expressionism,Expressionism,{Modern art:3},,,,,1949.0,1960.0,17.0,,[],{Neo-Expressionism:17},{Neo-Expressionism:17},Neo-Expressionism:1949-1960,"drawer,painter,researcher",,,Bay Area Figurative School,,,,,,No,
Denise Green,"American,Australian",Australia,female,Neo-Expressionism,New Image Painting,{New Image Painting:15},Melbourne,,1946.0,,1975.0,2007.0,15.0,,[],{Neo-Expressionism:15},{Neo-Expressionism:15},Neo-Expressionism:1975-2007,"drawer,painter",,,,,,,,,Yes,
Enzo Cucchi,Italian,Italy,male,"Neo-Expressionism, Surrealism",Neo-Expressionism,"{Contemporary Art:1},{Neo-Expressionism,Transavantgarde:40}",Morro d'Alba,,1949.0,,1982.0,2014.0,40.0,,[],"{Neo-Expressionism:36},{Surrealism:4}","{Neo-Expressionism:36}, {Surrealism:4}","Neo-Expressionism:1982-2011,Surrealism:2005-2008","installation artist,drawer,printmaker,visual artist,sculptor,painter",Italy,{Italy:1},,,,,,,Yes,
Georg Baselitz,German,Germany,male,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:34},Kamenz,,1938.0,,1963.0,2015.0,34.0,"Berlin,Inning am Ammersee",[],{Neo-Expressionism:34},{Neo-Expressionism:34},Neo-Expressionism:1963-2015,"printmaker,scenographer,university teacher,sculptor,painter,illustrator,artist",,,Neue Wilde,,,,,"Joseph Beuys,Gerhard Richter,",Yes,
Graca Morais,Portuguese,,,"Neo-Expressionism, Unknown",Neo-Expressionism,{Neo-Expressionism:20},,,,,1987.0,2001.0,20.0,,,"{Neo-Expressionism:19},{Unknown:1}",{Neo-Expressionism:19},Neo-Expressionism:1987-2001,,,,Puzzle Group,,,,,,Yes,
Henry Villierme,American,United States,male,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:13},San Francisco,Ojai,1928.0,2013.0,1956.0,2007.0,13.0,,[],{Neo-Expressionism:13},{Neo-Expressionism:13},Neo-Expressionism:1956-2007,painter,,,Bay Area Figurative School,,,,,,Yes,
Jenny Saville,,United Kingdom,female,Neo-Expressionism,Neo-Expressionism,"{Young British Artists:2},{Contemporary art:2}",Cambridge,,1970.0,,2012.0,2012.0,36.0,"Cincinnati,Palermo,London,Glasgow",[],{Neo-Expressionism:36},,,"painter,photographer",,,,,,,,,Yes,
Jorg Immendorff,German,Germany,male,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:18},Bleckede,Düsseldorf,1945.0,2007.0,1983.0,1998.0,18.0,Düsseldorf,[],{Neo-Expressionism:18},{Neo-Expressionism:18},Neo-Expressionism:1983-1998,"lithographer,drawer,graphic artist,university teacher,sculptor,painter",,,Neue Wilde,,,,,,,
