artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years,birth_date,death_date
Odd Nerdrum,"Contemporary Realism, Kitsch, Neo-baroque, Unknown",Kitsch,"{Contemporary Realism:10},{Kitsch:9},{Neo-baroque:90},{Unknown:5}",114,Helsingborg,1944.0,1977.0,,male,Norway,"painter,politician",,[],1944.0,
Omer Mujadžić,"Contemporary Realism, Expressionism, Unknown",Expressionism,"{Contemporary Realism:3},{Expressionism:21},{Unknown:1}",25,,1903.0,1991.0,,male,,"painter,illustrator",,[],1903.0,1991.0
Peter Dreher,Contemporary Realism,Conceptual Art,{Contemporary Realism:10},10,Mannheim,1932.0,2020.0,,male,Germany,"graphic artist,university teacher,painter,graphic designer","Freiburg im Breisgau,Karlsruhe",[],1932.0,2020.0
Philip Pearlstein,Contemporary Realism,Contemporary Realism,{Contemporary Realism:15},15,Pittsburgh,1924.0,2022.0,New York City,male,United States,"drawer,painter",,[],1924.0,2022.0
Pietropoli Patrick,Contemporary Realism,Contemporary Realism,{Contemporary Realism:52},52,,,,,,,,,,,
Richard Whitney,Contemporary Realism,Contemporary Realism,{Contemporary Realism:35},35,,1888.0,1974.0,,male,United States,"banker,painter",,[],1888.0,
Samira Eskandarfar,"Contemporary Realism, Feminist Art, Neo-Expressionism, Neo-Figurative Art, Neo-Pop Art, Surrealism, Unknown",Neo-Figurative Art,"{Contemporary Realism:1},{Feminist Art:2},{Neo-Expressionism:1},{Neo-Figurative Art:1},{Neo-Pop Art:3},{Surrealism:1},{Unknown:1}",10,Tehran,1980.0,,,female,Iran,"filmmaker,painter,writer",,[],1980.0,
Sergey Belik,"Contemporary Realism, Expressionism, Magic Realism",Magic Realism,"{Contemporary Realism:10},{Expressionism:3},{Magic Realism:17}",30,,,,,,,,,,,
Sun Mu,"Contemporary Realism, Neo-Expressionism, Pop Art, Socialist Realism, Sots Art",Socialist Realism,"{Contemporary Realism:3},{Neo-Expressionism:1},{Pop Art:7},{Socialist Realism:7},{Sots Art:3}",21,,1972.0,,,male,Ming dynasty,,,[],,
Teddy Cobeña,"Contemporary Realism, Expressionism, Figurative Expressionism, Geometric",Expressionism,"{Contemporary Realism:1},{Expressionism:3},{Figurative Expressionism:5},{Geometric:1}",10,Portoviejo,1973.0,,,male,Ecuador,"patron of the arts,sculptor,physician,writer","Spain,France,United Kingdom,Italy",[],1973.0,
Zoe Lerman,"Contemporary Realism, Expressionism, Naïve Art (Primitivism), Neo-Expressionism, Post-Impressionism, Social Realism",Soviet Nonconformist Art,"{Contemporary Realism:2},{Expressionism:7},{Naïve Art (Primitivism):1},{Neo-Expressionism:5},{Post-Impressionism:25},{Social Realism:1}",41,Kyiv,1934.0,2014.0,Kyiv,female,Soviet Union,"graphic artist,sculptor,painter,teacher",,[],1934.0,2014.0
Joaquin Manuel Fernandez Cruzado,"Costumbrismo, Romanticism",Romanticism,"{Costumbrismo:3},{Romanticism:8}",11,Jerez de la Frontera,1781.0,1856.0,Cádiz,male,Spain,painter,Cádiz,[],1781.0,1856.0
Joaquín Domínguez Bécquer,Costumbrismo,Romanticism,{Costumbrismo:22},22,Seville,1817.0,1879.0,Seville,male,Spain,painter,Q2807,[],1817.0,1879.0
Leonardo Alenza,"Costumbrismo, Romanticism",Romanticism,"{Costumbrismo:4},{Romanticism:3}",7,Q2807,1807.0,1845.0,Q2807,male,Spain,painter,Q2807,[],1807.0,1845.0
Manuel Rodriguez de Guzman,Costumbrismo,Romanticism,{Costumbrismo:11},11,Seville,1818.0,1867.0,Q2807,male,Spain,painter,,[],1818.0,1867.0
