artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Emilio Grau Sala,Fauvism,Post-Impressionism,{Fauvism:18},18,Barcelona,1911.0,1975.0,Barcelona,male,Spain,"painter,illustrator",Paris,['Paris:1932-1932']
Frances Hodgkins,"Fauvism, Post-Impressionism",Post-Impressionism,"{Fauvism:1},{Post-Impressionism:16}",17,Dunedin,1869.0,1947.0,Dorchester,female,New Zealand,"designer,painter,artist","Manchester,Wellington,St Ives,London,Paris,Corfe Castle",[]
Guan Zilan,"Fauvism, Impressionism, Post-Impressionism",Post-Impressionism,"{Fauvism:2},{Impressionism:1},{Post-Impressionism:9}",12,Shanghai,1903.0,1986.0,,female,,painter,,[]
Henri Manguin,"Fauvism, Post-Impressionism",Post-Impressionism,"{Fauvism:4},{Post-Impressionism:12}",16,Paris,1874.0,1949.0,Gassin,male,France,"drawer,printmaker,painter",,[]
Ilya Mashkov,"Fauvism, Impressionism, Post-Impressionism, Realism, Socialist Realism, Unknown",Post-Impressionism,"{Fauvism:56},{Impressionism:37},{Post-Impressionism:79},{Realism:39},{Socialist Realism:6},{Unknown:2}",219,Mikhaylovskaya,1881.0,1944.0,Moscow,male,Russian Empire,"painter,illustrator,teacher","Moscow,Saint Petersburg,Mikhaylovskaya",[]
John Duncan Fergusson,Fauvism,Post-Impressionism,{Fauvism:19},19,Leith,1874.0,1961.0,Glasgow,male,United Kingdom,"visual artist,sculptor,painter",,[]
Louis Valtat,Fauvism,Post-Impressionism,{Fauvism:26},26,Dieppe,1869.0,1952.0,Paris,male,France,"drawer,painter,engraver",Amsterdam,['Amsterdam:1934-1938']
Minas Avetisyan,"Fauvism, Post-Impressionism",Post-Impressionism,"{Fauvism:16},{Post-Impressionism:5}",21,Jajur,1928.0,1975.0,Yerevan,male,Soviet Union,painter,,[]
Nadezda Petrovic,"Fauvism, Post-Impressionism",Impressionism,"{Fauvism:5},{Post-Impressionism:22}",27,Čačak,1873.0,1915.0,Valjevo,female,Principality of Serbia,"art critic,visual artist,painter",,[]
Othon Friesz,"Fauvism, Impressionism, Post-Impressionism, Unknown",Post-Impressionism,"{Fauvism:11},{Impressionism:6},{Post-Impressionism:4},{Unknown:1}",22,Le Havre,1879.0,1949.0,Paris,male,France,"printmaker,painter,teacher",,[]
Rik Wouters,"Fauvism, Post-Impressionism",Post-Impressionism,"{Fauvism:23},{Post-Impressionism:2}",25,Mechelen,1882.0,1916.0,Amsterdam,male,Belgium,"graphic artist,sculptor,painter",,[]
Ana Mendieta,"Feminist Art, Performance Art",Performance Art,"{Feminist Art:13},{Performance Art:2}",15,Havana,1948.0,1985.0,New York City,female,Cuba,"land artist,video artist,performance artist,visual artist,film director,athlete,sculptor,painter,artist,photographer",New York City,[]
Boushra Yahya Almutawakel,Feminist Art,Feminist Art,{Feminist Art:13},13,Sanaa,1969.0,,,female,Yemen,photographer,,[]
