artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,pictures_count
Monique Orsini,French,France,female,"Art Informel, Lyrical Abstraction, Tachisme",Art Informel,{Art Informel:36},Quercitello,,1937.0,,1998.0,2011.0,36.0,[],[],"{Art Informel:2},{Lyrical Abstraction:33},{Tachisme:1}","{Lyrical Abstraction:33}, {Tachisme:1}, {Art Informel:2}","Lyrical Abstraction:2002-2011,Tachisme:1998-1998,Art Informel:1998-1998",painter,,,,,,,,,Yes,
Natalia Dumitresco,"French,Romanian",France,female,Art Informel,Art Informel,{Art Informel:15},Bucharest,Chars,1915.0,1997.0,1957.0,1987.0,15.0,['France'],['France:1947-1967'],{Art Informel:15},{Art Informel:15},Art Informel:1957-1987,painter,,,École de Paris,,,,,,,
Nicolas de Staël,,France,male,"Art Informel, Lyrical Abstraction",Art Informel,{Modern art:1},Saint Petersburg,Antibes,1914.0,1955.0,1951.0,1951.0,47.0,"['Netherlands', 'France', 'City of Brussels']","['Netherlands:1949-1949,1933-1933', 'France:1935-1935']","{Art Informel:30},{Lyrical Abstraction:17}",,,"painter, printmaker",,,,,,,,,No,
Olivier Debre,French,France,male,"Art Informel, Color Field Painting, Lyrical Abstraction",Art Informel,{Art Informel:49},Paris,Paris,1920.0,1999.0,1956.0,1998.0,49.0,"['Amsterdam', 'Netherlands']","['Amsterdam:1950-1960', 'Netherlands:1950-1960']","{Art Informel:8},{Color Field Painting:2},{Lyrical Abstraction:39}","{Lyrical Abstraction:39}, {Art Informel:8}, {Color Field Painting:2}","Lyrical Abstraction:1966-1998,Art Informel:1956-1996,Color Field Painting:1985-1985","writer, painter, university teacher, French Resistance fighter",,,,,,,,,,
Omer Uluc,Turkish,,,Art Informel,Contemporary,{Contemporary:20},,,,,1969.0,2007.0,20.0,,,{Art Informel:20},{Art Informel:20},Art Informel:1969-2007,,,,,,,,,,Yes,
Ozdemir Atlan,Turkish,,male,"Art Informel, Neo-Expressionism, Nouveau Réalisme",Contemporary,{Contemporary:15},Giresun,,1931.0,,1965.0,2004.0,15.0,[],[],"{Art Informel:10},{Neo-Expressionism:2},{Nouveau Réalisme:3}","{Art Informel:10}, {Nouveau Réalisme:3}, {Neo-Dada:1}, {Neo-Expressionism:2}","Art Informel:1967-2004,Nouveau Réalisme:1974-1986,Neo-Dada:1974-1974,Neo-Expressionism:1965-1971",painter,,,,,,,,,Yes,
Paolo Scheggi,Italian,Italy,male,"Art Informel, Spatialism",Spatialism,{Spatialism:27},Florence,Rome,1940.0,1971.0,1959.0,1969.0,27.0,[],[],"{Art Informel:10},{Spatialism:17}","{Spatialism:17}, {Art Informel:10}","Spatialism:1964-1969,Art Informel:1959-1960",painter,,,,,,,,,No,
Paritosh Sen,Indian,Dominion of India,male,"Art Informel, Cubism, Expressionism",Modernism,{Modernism:26},Dhaka,Kolkata,1918.0,2008.0,1946.0,2007.0,26.0,[],[],"{Art Informel:2},{Cubism:2},{Expressionism:22}","{Cubism:6}, {Expressionism:22}, {Art Informel:2}","Cubism:1951-2000,Expressionism:1946-2007,Art Informel:1962-1970","painter, writer",,,Calcutta Group,,,,,,Yes,
Patrick Heron,British,Kingdom of Great Britain,male,"Art Informel, Color Field Painting, Expressionism, Post-Painterly Abstraction",Art Informel,"{Modern art:1},{Modernism:1},{Art Informel,Post-Painterly Abstraction:29}",Headingley,,1920.0,1803.0,1949.0,1999.0,29.0,['London'],[],"{Art Informel:5},{Color Field Painting:4},{Expressionism:2},{Post-Painterly Abstraction:18}","{Post-Painterly Abstraction:18}, {Color Field Painting:4}, {Art Informel:5}, {Expressionism:2}","Post-Painterly Abstraction:1958-1999,Color Field Painting:1957-1978,Art Informel:1956-1958,Expressionism:1949-1950","politician, banker","London, UK","{London:9},{UK:9}",,,,,,,,
Piero Manzoni,Italian,Italy,male,"Art Informel, Conceptual Art, Minimalism, Spatialism",Arte Povera,"{Arte Povera,Conceptual Art:22}",Soncino,Milan,1933.0,1963.0,1957.0,1962.0,22.0,"['Paris', 'Milan']",[],"{Art Informel:1},{Conceptual Art:5},{Minimalism:4},{Spatialism:12}","{Spatialism:12}, {Conceptual Art:5}, {Minimalism:4}, {Art Informel:1}","Spatialism:1958-1962,Conceptual Art:1959-1961,Minimalism:1958-1960,Art Informel:1957-1957","photographer, artist, painter, sculptor, drawer, conceptual artist","London, US, UK, NY, New York City","{New York City:1},{NY:1},{US:1},{London:1},{UK:1}",,,,,,,No,
Rene Duvillier,French,France,male,"Art Informel, Lyrical Abstraction",Art Informel,{Art Informel:42},Oyonnax,14th arrondissement of Paris,1919.0,2002.0,1955.0,2002.0,41.0,[],[],"{Art Informel:8},{Lyrical Abstraction:33}","{Art Informel:8}, {Lyrical Abstraction:34}","Art Informel:1955-2002,Lyrical Abstraction:1955-1999",painter,,,École de Paris,,,,,,Yes,
Romul Nutiu,Romanian,,,"Art Informel, Conceptual Art, Tachisme",Abstract Art,{Tachisme:74},,,,,1963.0,2012.0,74.0,,,"{Art Informel:8},{Conceptual Art:10},{Tachisme:56}","{Tachisme:56}, {Art Informel:8}, {Conceptual Art:10}","Tachisme:1965-2012,Art Informel:1970-2011,Conceptual Art:1963-2004",,,,,,,,,,Yes,
Rune Jansson,Swedish,Sweden,male,Art Informel,Art Informel,{Art Informel:19},Skinnskatteberg,Uddevalla,1932.0,2018.0,1957.0,2006.0,19.0,[],[],{Art Informel:19},{Art Informel:19},Art Informel:1957-2006,"amateur wrestler, actor, painter, writer",,,,,,,,,Yes,
Sadamasa Motonaga,Japanese,Japan,male,Art Informel,Art Informel,{Art Informel:28},Ueno,Takarazuka,1922.0,2011.0,1956.0,2004.0,28.0,[],[],{Art Informel:28},{Art Informel:28},Art Informel:1956-2004,"printmaker, painter",,,Gutai group,,,,,,Yes,
Samuel Buri,Swiss,Switzerland,male,"Art Informel, Lyrical Abstraction, Neo-Expressionism, Pop Art",Pop Art,{Pop Art:31},Täuffelen,,1935.0,,1956.0,1997.0,31.0,['Basel'],[],"{Art Informel:6},{Lyrical Abstraction:3},{Neo-Expressionism:8},{Pop Art:14}","{Art Informel:7}, {Pop Art:14}, {Lyrical Abstraction:3}, {Neo-Expressionism:9}","Art Informel:1956-1989,Pop Art:1963-1992,Lyrical Abstraction:1961-1961,Neo-Expressionism:1980-1997","artist, painter, merchant, council member",,,,,,,,,,
Shozo Shimamoto,Japanese,,,"Art Informel, Tachisme",Abstract Art,"{Art Informel,Tachisme:18}",,,,,1953.0,2008.0,18.0,[],[],"{Art Informel:4},{Tachisme:14}","{Tachisme:14}, {Art Informel:4}","Tachisme:1954-2008,Art Informel:1953-1965",,"London, UK","{London:2},{UK:2}",Gutai group,,,,,,Yes,
Simon Hantai,"French,Hungarian",Hungary,male,"Art Informel, Surrealism, Tachisme, Unknown",Abstract Art,"{Surrealism,Tachisme:28}",Bia,14th arrondissement of Paris,1922.0,2008.0,1952.0,1995.0,29.0,"['Italy', 'Budapest', 'France']","['Italy:1945-1948', 'France:1949-1949']","{Art Informel:6},{Surrealism:2},{Tachisme:20},{Unknown:1}","{Surrealism:5}, {Tachisme:20}, {Art Informel:6}","Surrealism:1952-1957,Tachisme:1955-1995,Art Informel:1962-1994",painter,,,,,,,,,,
Tano Festa,Italian,Italy,male,"Art Informel, Expressionism, Pop Art",Pop Art,{Pop Art:42},Rome,Rome,1938.0,1988.0,1960.0,1987.0,42.0,[],[],"{Art Informel:10},{Expressionism:3},{Pop Art:29}","{Pop Art:29}, {Art Informel:10}, {Expressionism:4}","Pop Art:1962-1981,Art Informel:1960-1987,Expressionism:1981-1986","photographer, painter, graphic artist",,,,,,,,,,
Theo Gerber,Swiss,Switzerland,male,"Art Informel, Surrealism",Surrealism,"{Surrealism,Art Informel:24}",Thun,,1928.0,1997.0,1955.0,1996.0,24.0,"['Rome', 'Paris', 'Basel', 'France']",[],"{Art Informel:5},{Surrealism:19}","{Surrealism:19}, {Art Informel:9}, {Expressionism:2}","Surrealism:1955-1996,Art Informel:1958-1996,Expressionism:1955-1957","painter, sculptor",,,,,,,,,,
Wols,"French,German",Germans,male,"Art Informel, Lyrical Abstraction, Surrealism, Tachisme, Unknown",Surrealism,"{Surrealism,Tachisme:54}",Berlin,Champigny-sur-Marne,1913.0,1951.0,1932.0,1965.0,54.0,"['Barcelona', 'Paris']",[],"{Art Informel:19},{Lyrical Abstraction:2},{Surrealism:22},{Tachisme:10},{Unknown:1}","{Art Informel:19}, {Surrealism:22}, {Tachisme:10}, {Lyrical Abstraction:2}","Art Informel:1940-1951,Surrealism:1932-1965,Tachisme:1947-1951,Lyrical Abstraction:1944-1945","photographer, pornographic actor, graphic designer, illustrator, painter","London, UK","{London:1},{UK:1}",,,,,,,No,
Akseli Gallen-Kallela,,Finland,male,"Art Nouveau (Modern), Expressionism, Impressionism, Romanticism, Symbolism, Unknown",Romanticism,,Pori,Stockholm,1865.0,1931.0,,,41.0,[],[],"{Art Nouveau (Modern):4},{Expressionism:6},{Impressionism:2},{Romanticism:14},{Symbolism:11},{Unknown:4}",,,"printmaker, designer, graphic artist, painter, illustrator, architect",,,,,,,,,,
Albin Egger-Lienz,,Austria,male,"Art Nouveau (Modern), Expressionism, Realism, Surrealism",Expressionism,,Stribach,Bolzano,1868.0,1926.0,1920.0,1923.0,105.0,[],[],"{Art Nouveau (Modern):9},{Expressionism:71},{Realism:24},{Surrealism:1}",,,"university teacher, painter, illustrator",,,,,,,,,No,
Alexandre Benois,Russian,France,male,"Art Nouveau (Modern), Post-Impressionism",Art Nouveau,{Art Nouveau:77},Saint Petersburg,Paris,1870.0,1960.0,1896.0,1957.0,77.0,"['Milan', 'Germany', 'Switzerland', 'Saint Petersburg', 'Paris', 'The Hague', 'Italy']","['Milan:1947-1956', 'Germany:1894-1894', 'Switzerland:1894-1894', 'Saint Petersburg:1887-1926', 'Paris:1909-1914,1905-1907,1896-1899,1926-1960', 'The Hague:1912-1912', 'Italy:1894-1894']","{Art Nouveau (Modern):57},{Post-Impressionism:20}","{Art Nouveau (Modern):57}, {Post-Impressionism:20}","Art Nouveau (Modern):1900-1957,Post-Impressionism:1896-1911","writer, painter, art historian, choreographer, scenographer","Georgia, Tbilisi","{Tbilisi:2},{Georgia:2}",Mir Iskusstva (World of Art),,,,,"Ilya Repin,",No,
Alfred William Finch,,Finland,male,"Art Nouveau (Modern), Impressionism, Neo-Impressionism, Pointillism, Post-Impressionism, Realism",Neo-Impressionism,{Neo-impressionism:2},Saint-Josse-ten-Noode,Helsinki,1854.0,1930.0,,,37.0,[],[],"{Art Nouveau (Modern):6},{Impressionism:2},{Neo-Impressionism:5},{Pointillism:9},{Post-Impressionism:13},{Realism:2}",,,"printmaker, ceramicist, painter",,,,,,,,,,
Alphonse Mucha,Czech,Nazi Germany,male,"Art Nouveau (Modern), Romanticism, Symbolism",Art Nouveau,{Art Nouveau:151},Ivančice,Prague,1860.0,1939.0,1894.0,1938.0,171.0,"['Paris', 'Prague', 'Munich', 'Vienna']","['Paris:1888-1888', 'Prague:1911-1911']","{Art Nouveau (Modern):141},{Romanticism:18},{Symbolism:12}","{Art Nouveau (Modern):123}, {Symbolism:11}, {Romanticism:17}","Art Nouveau (Modern):1894-1928,Symbolism:1896-1938,Romanticism:1902-1933","photographer, teacher, graphic designer, illustrator, poster artist, painter, university teacher, graphic artist, postage stamp designer","Paris, Czech Republic, Prague, France","{Paris:1},{France:1},{Prague:30},{Czech Republic:30}",,,"J. C. Leyendecker,",,,,No,
Andrei Ryabushkin,Russian,Russian Empire,male,"Art Nouveau (Modern), Realism, Romanticism",Romanticism,"{Romanticism,Realism:61}",Borisoglebsk Uyezd,Novgorod Governorate,1861.0,1904.0,1880.0,1904.0,61.0,[],[],"{Art Nouveau (Modern):9},{Realism:27},{Romanticism:25}","{Romanticism:25}, {Realism:29}, {Art Nouveau (Modern):9}","Romanticism:1880-1903,Realism:1880-1903,Art Nouveau (Modern):1895-1904",painter,"Russia, Moscow","{Moscow:11},{Russia:12}",Peredvizhniki (Society for Traveling Art Exhibitions),,,,,,No,
Anna Katarina Boberg,Swedish,Sweden,female,"Art Nouveau (Modern), Post-Impressionism, Symbolism",Art Nouveau,{Art Nouveau:8},Klara Church Parish,Sofia church parish,1864.0,1935.0,,,8.0,[],[],"{Art Nouveau (Modern):5},{Post-Impressionism:1},{Symbolism:2}","{Art Nouveau (Modern):8}, {Symbolism:2}, {Post-Impressionism:1}",,"painter, sculptor, scenographer, scenic designer","Sweden, Stockholm, Nationalmuseum","{Nationalmuseum:5},{Stockholm:5},{Sweden:5}",,"Svolvaers hamn under storfisket. Studie från Lofoten,",,"Self-taught,Académie Julian, Paris, France,",,,,
Anne Brigman,American,United States of America,female,"Art Nouveau (Modern), Pictorialism",Impressionism,"{Pictorialism,Impressionism:22}",Honolulu,El Monte,1869.0,1950.0,1903.0,1929.0,22.0,[],[],"{Art Nouveau (Modern):1},{Pictorialism:21}","{Pictorialism:22}, {Art Nouveau (Modern):1}",Pictorialism:1903-1929,"artist, photographer","Los Angeles, US, United States, CA","{United States:1},{Los Angeles:2},{CA:2},{US:2}",Photo-Secession,,,,,,No,
Arthur Rackham,British,United Kingdom,male,"Art Nouveau (Modern), Unknown",Art Nouveau,{Art Nouveau:160},Lewisham,Limpsfield,1867.0,1939.0,1934.0,1934.0,161.0,['London'],[],"{Art Nouveau (Modern):160},{Unknown:1}",{Art Nouveau (Modern):159},Art Nouveau (Modern):1934-1934,"translator, illustrator, painter, drawer",,,,,,,,,No,
Aubrey Beardsley,British,United Kingdom of Great Britain and Ireland,male,Art Nouveau (Modern),Art Nouveau,"{Aestheticism,Art Nouveau:239}",Brighton,Menton,1872.0,1898.0,1892.0,1898.0,239.0,[],[],{Art Nouveau (Modern):239},{Art Nouveau (Modern):239},Art Nouveau (Modern):1892-1898,"exlibrist, lithographer, painter, poster artist, illustrator, author, poet, writer","London, US, Chicago, Washington DC, MA, IL, UK, New Haven, Adelaide, Cambridge, Bedford, New York City, NY, Tate Britain, Australia, Victoria","{Washington DC:2},{US:16},{Victoria:16},{London:26},{UK:28},{New Haven:3},{Adelaide:1},{Australia:1},{New York City:1},{NY:1},{Cambridge:9},{MA:8},{Tate Britain:5},{Bedford:1},{Chicago:2},{IL:2}",,,"Vsevolod Maksymovych,",,,,No,
Austin Osman Spare,British,United Kingdom,male,"Art Nouveau (Modern), Symbolism",Symbolism,"{Art Nouveau,Symbolism:12}",London,London,1886.0,1956.0,1907.0,1952.0,12.0,['London'],[],"{Art Nouveau (Modern):6},{Symbolism:6}","{Art Nouveau (Modern):6}, {Symbolism:10}","Art Nouveau (Modern):1907-1907,Symbolism:1907-1952","writer, painter, occultist",,,,,,,,,No,
Beatrix Potter,British,United Kingdom,female,Art Nouveau (Modern),Art Nouveau,{Art Nouveau:32},West Brompton,Near Sawrey,1866.0,1943.0,1902.0,1911.0,32.0,[],[],{Art Nouveau (Modern):32},{Art Nouveau (Modern):32},Art Nouveau (Modern):1902-1911,"scientific illustrator, conservationist, novelist, children's writer, mycologist, botanist, painter, illustrator, writer",,,,,,,,,No,
Boris Kustodiev,Russian,Russian Empire,male,"Art Nouveau (Modern), Impressionism, Naïve Art (Primitivism), Realism, Socialist Realism",Realism,"{Realism,Art Nouveau:645}",Astrakhan,Saint Petersburg,1878.0,1927.0,1897.0,1927.0,645.0,[],[],"{Art Nouveau (Modern):195},{Impressionism:16},{Naïve Art (Primitivism):13},{Realism:413},{Socialist Realism:8}","{Art Nouveau (Modern):195}, {Realism:409}, {Naïve Art (Primitivism):13}, {Socialist Realism:7}, {Impressionism:16}","Art Nouveau (Modern):1902-1927,Realism:1897-1927,Naïve Art (Primitivism):1912-1926,Socialist Realism:1924-1926,Impressionism:1902-1915","scenographer, painter","Tomsk, Italy, Russia, Moscow, Saint Petersburg, Kyiv, Cambridge, UK, Ukraine, Yaroslavl, Minsk, Ryazan, Vologda, Belarus, Florence, St. Petersburg, Samara","{St. Petersburg:1},{Russia:45},{Moscow:25},{Saint Petersburg:8},{Cambridge:1},{UK:1},{Samara:1},{Minsk:2},{Belarus:2},{Tomsk:1},{Ryazan:1},{Florence:1},{Italy:1},{Kyiv:1},{Ukraine:1},{Yaroslavl:1},{Vologda:1}","Mir Iskusstva (World of Art),AKhRR (Association of Artists of Revolutionary Russia),Union of Russian Artists",,,,"Ilya Repin,","Oleksandr Murashko,",No,
Byam Shaw,British,United Kingdom of Great Britain and Ireland,male,"Art Nouveau (Modern), Japonism, Romanticism, Unknown",Romanticism,{Romanticism:76},Chennai,London,1872.0,1919.0,1894.0,1918.0,76.0,[],[],"{Art Nouveau (Modern):63},{Japonism:4},{Romanticism:7},{Unknown:2}","{Romanticism:45}, {Art Nouveau (Modern):68}, {Japonism:4}","Romanticism:1896-1918,Art Nouveau (Modern):1896-1914,Japonism:1910-1910","drawer, designer, visual artist, painter, illustrator, teacher",,,,,,,,,No,
Carl Larsson,Swedish,Sweden,male,"Art Nouveau (Modern), Impressionism, Romanticism",Arts and Crafts,"{Arts and Crafts ,Art Nouveau:117}",Storkyrkoförsamlingen,Sundborns,1853.0,1919.0,,,117.0,"['Falun Municipality', 'Grez-sur-Loing', 'Paris', 'Stockholm', 'Södertälje', 'Gävle']","['Södertälje:1886-1888', 'Gävle:1887-1887,1893-1893']","{Art Nouveau (Modern):109},{Impressionism:7},{Romanticism:1}","{Art Nouveau (Modern):109}, {Impressionism:7}, {Romanticism:1}",,"writer, illustrator, painter, graphic artist, printmaker, architectural draftsperson, drawer, watercolorist, photographer","Sweden, Bonniers Konsthall, Galleriet, Stockholm, Thielska, Dalarna, Nationalmuseum","{Dalarna:2},{Sweden:29},{Nationalmuseum:25},{Stockholm:27},{Bonniers Konsthall:1},{Thielska:1},{Galleriet:1}",,"children,arts-and-crafts,male-portraits,famous-people,dishware-and-cutlery,children,cows,shepherds,children portraits,reading-and-writing,characters-and-emotions,children,reading-and-writing,families,mother-and-child,mealtimes,male-portraits,famous-people,reading-and-writing,furniture-and-decoration,female-portraits,famous-people,children,furniture-and-decoration,handwork,countryside,handwork,animals,cows,female-nude,characters-and-emotions,children,furniture-and-decoration,mealtimes,female-portraits,children portraits,children,reading-and-writing,furniture-and-decoration,yards,actors-and-performances,roads-and-vehicles,horses,mother-and-child,furniture-and-decoration,","Nationalmuseum, Stockholm, Sweden,Private Collection,",,,"Artists2/Carl Larsson/Christmas Morning 1894.jpg,Artists2/Carl Larsson/Self Portrait 1891.jpg,Artists2/Carl Larsson/Detail Of Christmas Eve 1906.jpg,Artists2/Carl Larsson/Cowgirl In The Meadow 1906.jpg,Artists2/Carl Larsson/Children Of The Carpenter Helberg 1906.jpg,Artists2/Carl Larsson/Lisbeth Reading 1904.jpg,Artists2/Carl Larsson/Karin Reading 1904.jpg,Artists2/Carl Larsson/The First Lesson 1903.jpg,Artists2/Carl Larsson/Mrs Dora Lamm And Her Two Eldest Sons 1903.jpg,Artists2/Carl Larsson/Breakfast In The Open 1913.jpg,Artists2/Carl Larsson/Self Portrait 1912.jpg,Artists2/Carl Larsson/Correspondence 1912.jpg,Artists2/Carl Larsson/Lisbeth At The Birch Grove 1910.jpg,Artists2/Carl Larsson/The Entry Of King Gustav Vasa Of Sweden Into Stockholm 1523 1908.jpg,Artists2/Carl Larsson/Brita At The Piano 1908.jpg,Artists2/Carl Larsson/Woodcutters In The Forest 1906.jpg,Artists2/Carl Larsson/Threshing 1906.jpg,Artists2/Carl Larsson/The Stable 1906.jpg,Artists2/Carl Larsson/The Model On The Table 1906.jpg,Artists2/Carl Larsson/The Manure Pile 1906.jpg,Artists2/Carl Larsson/Self Recognition 1906.jpg,Artists2/Carl Larsson/Abuelo With Esborjn 1902.jpg,Artists2/Carl Larsson/Getting Ready For A Game 1901.jpg,Artists2/Carl Larsson/Brita As Iduna I Unn Lithography Title Page For The Christmas Edition Of Idun 1901 1901.jpg,Artists2/Carl Larsson/Required Reading 1900.jpg,Artists2/Carl Larsson/Lisbeth In Blue Bird 1900.jpg,Artists2/Carl Larsson/Before The Mirror 1900.jpg,Artists2/Carl Larsson/August Strindberg 1899.jpg,Artists2/Carl Larsson/Los Deberes 1898.jpg,Artists2/Carl Larsson/The Bridge 1896.jpg,Artists2/Carl Larsson/Between Christmas And New A O 1896.jpg,Artists2/Carl Larsson/Self Portrait 1895.jpg,Artists2/Carl Larsson/Clair Obscur 1877.jpg,",,
Carlos Schwabe,Swiss,Germany,male,"Art Nouveau (Modern), Symbolism",Symbolism,{Symbolism:3},Altona,Avon,1866.0,1926.0,1890.0,1900.0,80.0,"['Geneva', 'Paris']",[],"{Art Nouveau (Modern):43},{Symbolism:37}",{Symbolism:1},Symbolism:1895-1895,"designer, graphic artist, painter, illustrator",,,,,,,,,No,
Charles Rennie Mackintosh,British,United Kingdom,male,"Art Nouveau (Modern), Unknown",Arts and Crafts,"{Arts and Crafts ,Art Nouveau:50}",Townhead,London,1868.0,1928.0,1892.0,1927.0,50.0,"['Pyrénées-Orientales', 'Glasgow']",[],"{Art Nouveau (Modern):49},{Unknown:1}",{Art Nouveau (Modern):49},Art Nouveau (Modern):1892-1927,"architect, painter, sculptor, graphic artist, interior designer, designer, handicrafter",,,Glasgow School,,,,,,No,
Charles Robinson,British,United Kingdom of Great Britain and Ireland,male,Art Nouveau (Modern),Art Nouveau,{Art Nouveau:44},Houston,Buckinghamshire,1945.0,1937.0,1890.0,1913.0,44.0,[],[],{Art Nouveau (Modern):44},{Art Nouveau (Modern):44},Art Nouveau (Modern):1890-1913,"illustrator, writer",,,,,,,,,No,
Clarence Gagnon,Canadian,Canada,male,"Art Nouveau (Modern), Impressionism",Impressionism,"{Impressionism,Art Nouveau:118}",Montreal,Montreal,1881.0,1942.0,1899.0,1935.0,118.0,[],[],"{Art Nouveau (Modern):9},{Impressionism:109}","{Impressionism:109}, {Art Nouveau (Modern):9}","Impressionism:1899-1935,Art Nouveau (Modern):1921-1928",painter,,,,,,,,,No,
Cuno Amiet,Swiss,Switzerland,male,"Art Nouveau (Modern), Divisionism, Expressionism, Fauvism, Japonism, Post-Impressionism, Symbolism",Symbolism,"{Symbolism,Post-Impressionism,Art Nouveau,Expressionism:88}",Solothurn,Oschwand,1868.0,1961.0,1894.0,1960.0,88.0,[],[],"{Art Nouveau (Modern):4},{Divisionism:6},{Expressionism:14},{Fauvism:13},{Japonism:2},{Post-Impressionism:44},{Symbolism:5}","{Post-Impressionism:44}, {Expressionism:20}, {Divisionism:7}, {Fauvism:15}, {Symbolism:5}, {Art Nouveau (Modern):6}, {Japonism:2}","Post-Impressionism:1894-1960,Expressionism:1906-1950,Divisionism:1894-1959,Fauvism:1903-1959,Symbolism:1904-1953,Art Nouveau (Modern):1899-1931,Japonism:1904-1910","printmaker, sculptor, painter, graphic designer",,,"Vienna Secession,Les Nabis,Pont-Aven School",,,,,,No,
Dorothy Lathrop,American,England,female,Art Nouveau (Modern),Art Nouveau,{Art Nouveau:117},,,1884.0,1952.0,1920.0,1949.0,117.0,"['Edam', 'Netherlands']","['Edam:1905-1905', 'Netherlands:1905-1905']",{Art Nouveau (Modern):117},{Art Nouveau (Modern):117},Art Nouveau (Modern):1920-1949,"textile designer, designer, painter",,,,,,,,,No,
Edmund Dulac,"French,British",United Kingdom of Great Britain and Ireland,male,Art Nouveau (Modern),Art Nouveau,{Art Nouveau:96},Toulouse,London,1882.0,1953.0,,,96.0,[],[],{Art Nouveau (Modern):96},{Art Nouveau (Modern):96},,"postage stamp designer, graphic artist, painter, illustrator",,,,,,,,,,
Eero Järnefelt,,Finland,male,"Art Nouveau (Modern), Realism, Symbolism",Realism,,Vyborg,Helsinki,1863.0,1937.0,,,54.0,[],[],"{Art Nouveau (Modern):5},{Realism:48},{Symbolism:1}",,,painter,,,,,,,,,,
Egon Schiele,Austrian,Cisleithania,male,"Art Nouveau (Modern), Expressionism, Impressionism",Expressionism,"{Vienna Secession:1},{Modern art:1},{Expressionism:289}",Tulln an der Donau,Vienna,1890.0,1918.0,1905.0,1919.0,299.0,"['Neulengbach', 'Český Krumlov', 'Vienna']",[],"{Art Nouveau (Modern):58},{Expressionism:221},{Impressionism:20}","{Expressionism:210}, {Art Nouveau (Modern):58}, {Symbolism:1}, {Impressionism:20}","Expressionism:1909-1918,Art Nouveau (Modern):1906-1912,Symbolism:1910-1910,Impressionism:1905-1905","photographer, architect, painter, sculptor, printmaker, drawer, lithographer","UK, Spain, Switzerland, US, Chicago, MN, Netherlands, Germany, Baltimore, Israel, IL, Cambridge, Minneapolis, Jerusalem, Darmstadt, Hague, Albertina, Austria, Vienna, Basel, Zürich, Stuttgart, Munich, Madrid, NY, MD, OH, New York City","{Vienna:40},{Austria:40},{Albertina:22},{Madrid:2},{Spain:2},{New York City:4},{NY:4},{US:8},{Cambridge:1},{UK:1},{Minneapolis:1},{MN:1},{Chicago:1},{IL:1},{Hague:2},{Netherlands:2},{Jerusalem:1},{Israel:1},{Stuttgart:2},{Germany:4},{Baltimore:1},{MD:1},{Zürich:2},{Switzerland:3},{Basel:1},{Munich:2},{OH:1},{Darmstadt:1}",Vienna Secession,"Gustav Klimt,Vincent van Gogh,Jan Toorop,Edvard Munch,Wassily Kandinsky,","Francis Bacon,Julian Schnabel,Expressionism,Neo-Expressionism,",,,"Gustav Klimt,Oskar Kokoschka,",No,
Eliseu Visconti,"Italian,Brazilian",Brazil,male,"Art Nouveau (Modern), Impressionism, Romanticism, Symbolism",Symbolism,"{Art Nouveau:1},{Modern art:2},{Impressionism:1},{Symbolism,Impressionism,Art Nouveau:46}",Giffoni Valle Piana,Rio de Janeiro,1866.0,1944.0,1866.0,1944.0,43.0,[],[],"{Art Nouveau (Modern):14},{Impressionism:16},{Romanticism:8},{Symbolism:5}","{Art Nouveau (Modern):16}, {Romanticism:11}, {Impressionism:19}, {Symbolism:6}","Art Nouveau (Modern):1898-1903,Romanticism:1898-1898,Impressionism:1902-1931,Symbolism:1925-1925","drawer, painter, graphic designer","Brazil, Rio de Janeiro","{Rio de Janeiro:1},{Brazil:1}",,,,,,,No,
Emile Galle,French,France,male,Art Nouveau (Modern),Art Nouveau,{Art Nouveau:19},Nancy,Nancy,1846.0,1904.0,1870.0,1904.0,19.0,['Nancy'],[],{Art Nouveau (Modern):19},{Art Nouveau (Modern):19},Art Nouveau (Modern):1889-1904,"cabinetmaker, glassblower, glass artist, designer, ceramicist",,,École de Nancy,,,,,,No,
Emily Carr,Canadian,Canada,female,"Art Nouveau (Modern), Fauvism, Post-Impressionism, Unknown",Post-Impressionism,"{Post-Impressionism:2},{Cubism:5},{Modern art:7},{Expressionism:2},{Modernism:6},{Post-Impressionism,Modernism:45}",Victoria,Victoria,1871.0,1945.0,1890.0,1942.0,45.0,"['Sweden', 'Vancouver', 'London', 'Victoria', 'Paris', 'Canada']",[],"{Art Nouveau (Modern):9},{Fauvism:1},{Post-Impressionism:34},{Unknown:1}","{Cubism:14}, {Post-Impressionism:43}, {Art Nouveau (Modern):9}, {Fauvism:1}","Cubism:1929-1936,Post-Impressionism:1906-1942,Art Nouveau (Modern):1931-1937,Fauvism:1911-1911","autobiographer, ceramicist, painter, artist, writer","Ottawa, Canada","{Canada:3},{Ottawa:1}","Canadian Group of Painters,Group of Seven,St Ives School","Lawren Harris,Andre Derain,Paul Gauguin,Post-Impressionism,","Jessica Stockholder,",,"Lawren Harris,Harry Phelan Gibb,Algernon Talmage,","Albert Julius Olsson,",No,
